Episode,Step,Clock,Ap1,Av1,Bp1,Bv1
 , 报单,Action,AskQuote,RefPrice,BidQuote,Pos
 ,撤单 ,Index,Side,Price,Vol
 ,现存挂单 ,Index,Side,Price,Vol
 ,成交 ,Index,Side,Price,Vol
 
20200226,34500000,93500,46640.0,1041,46602.0,100
 , , ,46769.0,900,46601.0,2100
 , , ,46783.0,200,46600.0,3122
 , , ,46796.0,100,46599.0,300
 , , ,46797.0,5000,46597.0,200
,选择报单,8,46671,46621.0,46571,0
,挂单,8359,A,46671.0,100
,挂单,8360,B,46571.0,100
,TradePnl,0.0,PosPnl,-0.0,TotalPnl,0.0
,AggPnl,0.0,Reward,0.0
 
20200226,34503000,93503,46640.0,741,46601.0,1700
 , , ,46768.0,200,46600.0,3122
 , , ,46769.0,900,46599.0,300
 , , ,46783.0,200,46597.0,200
 , , ,46796.0,100,46585.0,100
,选择报单,2,46640,46620.5,46600,0
,挂单,8361,A,46640.0,100
,挂单,8359,A,46671.0,100
,挂单,8362,B,46600.0,100
,挂单,8360,B,46571.0,100
, 成交,8361,A,46640,100
,TradePnl,1950.0,PosPnl,-0.0,TotalPnl,1950.0
,AggPnl,1950.0,Reward,19.5
 
20200226,34506000,93506,46640.0,41,46601.0,1300
 , , ,46768.0,300,46600.0,3522
 , , ,46769.0,900,46599.0,300
 , , ,46783.0,200,46597.0,200
 , , ,46796.0,100,46585.0,100
, 撤单,8360,B,46571,100
,选择报单,8,46670,46620.5,46570,-100
,挂单,8363,A,46670.0,100
,挂单,8359,A,46671.0,100
,挂单,8362,B,46600.0,100
,挂单,8364,B,46570.0,100
, 成交,8363,A,46670,100
,TradePnl,4950.0,PosPnl,-13700.0,TotalPnl,-8750.0
,AggPnl,-8750.0,Reward,-87.5
 
20200226,34509000,93509,46768.0,200,46610.0,100
 , , ,46769.0,900,46601.0,1200
 , , ,46783.0,200,46600.0,3622
 , , ,46796.0,100,46599.0,300
 , , ,46797.0,5000,46597.0,200
, 撤单,8364,B,46570,100
,选择报单,6,46699,46689.0,46649,-200
,挂单,8359,A,46671.0,100
,挂单,8365,A,46699.0,100
,挂单,8366,B,46649.0,100
,挂单,8362,B,46600.0,100
,TradePnl,0.0,PosPnl,-3200.0,TotalPnl,-3200.0
,AggPnl,-3200.0,Reward,-32.0
 
20200226,34512000,93512,46760.0,400,46650.0,100
 , , ,46764.0,100,46626.0,100
 , , ,46768.0,200,46619.0,100
 , , ,46769.0,900,46611.0,600
 , , ,46783.0,200,46610.0,100
, 撤单,8365,A,46699,100
, 撤单,8362,B,46600,100
,选择报单,1,46715,46705.0,46665,0
,挂单,8359,A,46671.0,100
,挂单,8367,A,46715.0,100
,挂单,8368,B,46665.0,100
,挂单,8366,B,46649.0,100
, 成交,8366,B,46649,100
,TradePnl,5600.0,PosPnl,-950.0,TotalPnl,4650.0
,AggPnl,-6350.0,Reward,46.5
 
20200226,34515000,93515,46760.0,400,46631.0,300
 , , ,46764.0,100,46626.0,100
 , , ,46768.0,200,46619.0,100
 , , ,46769.0,900,46611.0,600
 , , ,46783.0,200,46610.0,100
, 撤单,8367,A,46715,100
,选择报单,6,46705,46695.5,46655,100
,挂单,8359,A,46671.0,100
,挂单,8369,A,46705.0,100
,挂单,8368,B,46665.0,100
,挂单,8370,B,46655.0,100
, 成交,8370,B,46655,100
, 成交,8368,B,46665,100
,TradePnl,7100.0,PosPnl,-13950.0,TotalPnl,-6850.0
,AggPnl,-6850.0,Reward,-68.5
 
20200226,34518000,93518,46650.0,100,46648.0,100
 , , ,46760.0,400,46611.0,600
 , , ,46768.0,200,46610.0,100
 , , ,46769.0,900,46605.0,100
 , , ,46783.0,200,46603.0,100
, 撤单,8369,A,46705,100
,选择报单,3,46679,46649.0,46619,300
,挂单,8359,A,46671.0,100
,挂单,8371,A,46679.0,100
,挂单,8372,B,46619.0,100
,TradePnl,0.0,PosPnl,16500.0,TotalPnl,16500.0
,AggPnl,16500.0,Reward,140.24999901652336
 
20200226,34521000,93521,46760.0,400,46648.0,100
 , , ,46768.0,100,46611.0,600
 , , ,46769.0,900,46610.0,100
 , , ,46783.0,200,46605.0,100
 , , ,46796.0,100,46603.0,100
, 撤单,8371,A,46679,100
,选择报单,3,46734,46704.0,46674,300
,挂单,8359,A,46671.0,100
,挂单,8373,A,46734.0,100
,挂单,8374,B,46674.0,100
,挂单,8372,B,46619.0,100
, 成交,8359,A,46671,100
, 成交,8373,A,46734,100
,TradePnl,-300.0,PosPnl,-1100.0,TotalPnl,-1400.0
,AggPnl,-1400.0,Reward,-14.0
 
20200226,34524000,93524,46760.0,400,46626.0,200
 , , ,46768.0,100,46612.0,200
 , , ,46769.0,900,46611.0,600
 , , ,46783.0,200,46610.0,100
 , , ,46796.0,100,46605.0,100
, 撤单,8372,B,46619,100
,选择报单,1,46723,46693.0,46663,0
,挂单,8375,A,46723.0,100
,挂单,8374,B,46674.0,100
,挂单,8376,B,46663.0,100
, 成交,8376,B,46663,100
, 成交,8374,B,46674,100
,TradePnl,4900.0,PosPnl,-11400.0,TotalPnl,-6500.0
,AggPnl,-13200.0,Reward,-65.0
 
20200226,34527000,93527,46646.0,100,46626.0,200
 , , ,46650.0,700,46622.0,200
 , , ,46759.0,100,46612.0,200
 , , ,46760.0,400,46611.0,600
 , , ,46768.0,100,46610.0,100
,选择报单,3,46666,46636.0,46606,200
,挂单,8377,A,46666.0,100
,挂单,8375,A,46723.0,100
,挂单,8378,B,46606.0,100
,TradePnl,0.0,PosPnl,-2600.0,TotalPnl,-2600.0
,AggPnl,-2600.0,Reward,-26.0
 
20200226,34530000,93530,46624.0,100,46622.0,100
 , , ,46648.0,100,46612.0,200
 , , ,46650.0,700,46611.0,600
 , , ,46748.0,300,46610.0,100
 , , ,46759.0,200,46605.0,100
, 撤单,8375,A,46723,100
,选择报单,8,46673,46623.0,46573,200
,挂单,8377,A,46666.0,100
,挂单,8379,A,46673.0,100
,挂单,8378,B,46606.0,100
