nActionDay,nTime,nPrice,nVolume
20200226,93026400,4654000,200
20200226,93026400,4654000,100
20200226,93026400,4653900,400
20200226,93026560,4653900,100
20200226,93026920,4653900,100
20200226,93027100,4653900,100
20200226,93027240,4653900,100
20200226,93027420,4653900,500
20200226,93027730,4652100,100
20200226,93028190,4652000,200
20200226,93028390,4652000,600
20200226,93028610,4652000,100
20200226,93029190,4652000,100
20200226,93029730,4652000,200
20200226,93030250,4652000,100
20200226,93030320,4652000,100
20200226,93030400,4652000,100
20200226,93030400,4653800,100
20200226,93030810,4653800,100
20200226,93030820,4653800,100
20200226,93031210,4652000,100
20200226,93031210,4652000,100
20200226,93031470,4654700,100
20200226,93032470,4652000,100
20200226,93032970,4652000,100
20200226,93033080,4652000,100
20200226,93033080,4651400,100
20200226,93033590,4651400,400
20200226,93033590,4651400,300
20200226,93033590,4651400,100
20200226,93034240,4652900,300
20200226,93034240,4652000,100
20200226,93035490,4651400,100
20200226,93036350,4652000,100
20200226,93036600,4656700,100
20200226,93037280,4656700,100
20200226,93037280,4653900,100
20200226,93037280,4653900,100
20200226,93037280,4652100,100
20200226,93038040,4652000,100
20200226,93040280,4652100,400
20200226,93041430,4653800,100
20200226,93041430,4653800,100
20200226,93041430,4653800,100
20200226,93041430,4653800,100
20200226,93041640,4653700,200
20200226,93041640,4653700,100
20200226,93041640,4653700,100
20200226,93041640,4653700,100
20200226,93041650,4653900,100
20200226,93042210,4653700,400
20200226,93042590,4660000,100
20200226,93042690,4659900,100
20200226,93042690,4660000,200
20200226,93043190,4653800,100
20200226,93043250,4653800,200
20200226,93043350,4653800,500
20200226,93043350,4653800,800
20200226,93043350,4653800,600
20200226,93043350,4653800,300
20200226,93043560,4659900,100
20200226,93044940,4659900,100
20200226,93045710,4659800,100
20200226,93045730,4659800,100
20200226,93045730,4659900,100
20200226,93045740,4659900,100
20200226,93046250,4656700,100
20200226,93046250,4654000,100
20200226,93046430,4659900,100
20200226,93046430,4660000,100
20200226,93047390,4654000,100
20200226,93047390,4653800,600
20200226,93047390,4652100,200
20200226,93047390,4652000,100
20200226,93047780,4660000,600
20200226,93048420,4659800,100
20200226,93048500,4659800,300
20200226,93048600,4659800,100
20200226,93048670,4659800,1600
20200226,93048680,4659800,1360
20200226,93048680,4659900,100
20200226,93048680,4660000,248
20200226,93048680,4660000,92
20200226,93048790,4652000,100
20200226,93048810,4660000,100
20200226,93048820,4660000,100
20200226,93048820,4660000,108
20200226,93048820,4660000,292
20200226,93048820,4660000,8
20200226,93048820,4660000,92
20200226,93049230,4652100,100
20200226,93049230,4652100,300
20200226,93049610,4660000,8
20200226,93049610,4660000,92
20200226,93049620,4653700,100
20200226,93050840,4660000,100
20200226,93051590,4660000,100
20200226,93051590,4660000,100
20200226,93051710,4660000,100
20200226,93052230,4656700,100
20200226,93052230,4654100,100
20200226,93053970,4660000,100
20200226,93054080,4660000,100
20200226,93054340,4660000,100
20200226,93054780,4660000,100
20200226,93055120,4660000,100
20200226,93055210,4654000,200
20200226,93055210,4653900,100
20200226,93055750,4660000,200
20200226,93055950,4660000,100
20200226,93056050,4660000,100
20200226,93056200,4660000,100
20200226,93056560,4660000,100
20200226,93056600,4660000,1008
20200226,93056600,4660000,100
20200226,93056600,4660000,100
20200226,93056600,4660000,100
20200226,93056600,4660000,200
20200226,93057590,4664300,100
20200226,93057860,4664400,100
20200226,93058230,4664400,100
20200226,93058240,4664400,200
20200226,93058240,4664400,100
20200226,93059710,4664400,100
20200226,93059710,4664300,100
20200226,93100660,4670000,200
20200226,93100660,4670000,100
